Round 3 Details
================================================================================

FEATURE-GT CORRELATIONS:
  gland_patch_ratio: r=-0.415
  tumor_median_nnd: r=+0.425
  tumor_mean_nnd: r=+0.405
  tumor_nnd_cv: r=-0.097
  gland_mask_fraction: r=-0.264
  gland_component_count: r=+0.216
  gland_component_count_norm: r=-0.260
  gland_mean_component_area: r=-0.190
  gland_median_component_area: r=-0.266
  gland_total_area_norm: r=-0.307
  gland_max_component_area: r=+0.015
  gland_large_component_count: r=+0.156
  gland_large_component_ratio: r=-0.257

ALL CONFIGURATIONS (sorted by adjusted score):
  gland_ratio+mean_area__ElasticNet_a0.1: adjusted=0.2153 (LOO r=0.238, IS r=0.432, gap=0.194) [F1=0.232 QWK=0.095]
  ratio+nnd+comp_count_norm__Ridge_a100: adjusted=0.2142 (LOO r=0.265, IS r=0.516, gap=0.251) [F1=0.167 QWK=0.000]
  ratio+nnd+mean_area__Ridge_a100: adjusted=0.2044 (LOO r=0.266, IS r=0.538, gap=0.272) [F1=0.167 QWK=0.000]
  gland_ratio+comp_count_norm__Ridge_a10: adjusted=0.2037 (LOO r=0.223, IS r=0.412, gap=0.189) [F1=0.232 QWK=0.095]
  comp_count_norm+mean_area__PLS_2: adjusted=0.2024 (LOO r=0.219, IS r=0.403, gap=0.184) [F1=0.265 QWK=0.174]
  ratio+nnd+large_count__Ridge_a100: adjusted=0.2007 (LOO r=0.255, IS r=0.515, gap=0.259) [F1=0.167 QWK=0.000]
  comp_count_norm+mean_area__Ridge_a1: adjusted=0.1910 (LOO r=0.212, IS r=0.403, gap=0.192) [F1=0.265 QWK=0.174]
  gland_ratio+comp_count_norm__Ridge_a1: adjusted=0.1815 (LOO r=0.210, IS r=0.417, gap=0.207) [F1=0.177 QWK=0.083]
  gland_ratio+comp_count_norm__PLS_2: adjusted=0.1742 (LOO r=0.205, IS r=0.417, gap=0.212) [F1=0.177 QWK=0.083]
  comp_count_norm+total_area_norm__PLS_1: adjusted=0.1414 (LOO r=0.154, IS r=0.328, gap=0.175) [F1=0.213 QWK=0.091]
  gland_total_area_norm_only__PLS_1: adjusted=0.1046 (LOO r=0.122, IS r=0.307, gap=0.185) [F1=0.213 QWK=0.091]
  gland_total_area_norm_only__Ridge_a1: adjusted=0.0991 (LOO r=0.118, IS r=0.307, gap=0.188) [F1=0.213 QWK=0.091]
  comp_count_norm+mean_area__Ridge_a10: adjusted=0.0901 (LOO r=0.144, IS r=0.403, gap=0.259) [F1=0.232 QWK=0.095]
