Round 2 Details
================================================================================

FEATURE-GT CORRELATIONS:
  gland_patch_ratio: r=-0.415
  gland_mask_fraction: r=-0.264
  tumor_mean_nnd: r=+0.405
  tumor_median_nnd: r=+0.425
  tumor_nnd_cv: r=-0.097
  tumor_nnd_std: r=+0.245
  tumor_nnd_iqr: r=+0.378
  tumor_cell_count_st: r=+0.296
  tumor_cell_fraction: r=+0.071
  tumor_cell_density: r=+0.301

ALL CONFIGURATIONS (sorted by adjusted score):
  gland_ratio+nnd+iqr__Ridge_a100: adjusted=0.2509 (LOO r=0.283, IS r=0.497, gap=0.214) [F1=0.167 QWK=0.000]
  gland_ratio+nnd+density__ElasticNet_a0.1: adjusted=0.2485 (LOO r=0.286, IS r=0.511, gap=0.225) [F1=0.259 QWK=0.167]
  gland_ratio+mask__Ridge_a1: adjusted=0.2456 (LOO r=0.254, IS r=0.420, gap=0.166) [F1=0.195 QWK=0.087]
  gland_ratio+mask__Ridge_a0.1: adjusted=0.2444 (LOO r=0.253, IS r=0.420, gap=0.167) [F1=0.177 QWK=0.083]
  gland_ratio+mask__PLS_2: adjusted=0.2442 (LOO r=0.253, IS r=0.420, gap=0.167) [F1=0.177 QWK=0.083]
  gland_ratio+mask__Ridge_a10: adjusted=0.2439 (LOO r=0.251, IS r=0.415, gap=0.164) [F1=0.213 QWK=0.091]
  nnd_iqr_only__PLS_1: adjusted=0.2420 (LOO r=0.242, IS r=0.378, gap=0.136) [F1=0.219 QWK=0.091]
  nnd_iqr_only__Ridge_a0.1: adjusted=0.2417 (LOO r=0.242, IS r=0.378, gap=0.136) [F1=0.219 QWK=0.091]
  nnd_iqr_only__Ridge_a1: adjusted=0.2390 (LOO r=0.239, IS r=0.378, gap=0.139) [F1=0.219 QWK=0.091]
  gland_ratio+mask__ElasticNet_a0.1: adjusted=0.2262 (LOO r=0.240, IS r=0.417, gap=0.177) [F1=0.213 QWK=0.091]
  gland_ratio+median_nnd__Ridge_a100: adjusted=0.2175 (LOO r=0.270, IS r=0.525, gap=0.255) [F1=0.167 QWK=0.000]
  gland_ratio+density__ElasticNet_a0.1: adjusted=0.2145 (LOO r=0.241, IS r=0.445, gap=0.204) [F1=0.200 QWK=0.087]
