Round 10 Details
================================================================================

Best model: gland_PCA20_a1
Description: gland emb PCA(20) + Ridge(a=1)
LOO Pearson r: 0.6571
IS Pearson r: 0.9466
Gap: 0.2895
Adjusted: 0.5874

Best per category:
  Gland Embedding: gland_PCA20_a1 adj=0.5874 LOO_r=0.6571 gap=0.2895
  Tumor Cell Embedding: tumor_PCA3_a1 adj=0.1153 LOO_r=0.1665 gap=0.2524
  Combined Embedding: combined_PCA5_a1 adj=0.2029 LOO_r=0.2639 gap=0.2720
  Blend: blend_g0.7_gland_PCA20_a1_c0.3_combined_PCA5_a20 adj=0.5667 LOO_r=0.6387 gap=0.2939
  ElasticNet: gland_EN_PCA20_a0.01_l10.5 adj=0.5854 LOO_r=0.6558 gap=0.2907

All configurations (sorted by adjusted):
  gland_PCA9_a100: adj=-1.0000 LOO_r=0.2039 IS_r=0.7128 gap=0.5089 F1=0.3273 QWK=0.1600
  gland_PCA9_a200: adj=-1.0000 LOO_r=0.2104 IS_r=0.7132 gap=0.5028 F1=0.3484 QWK=0.1667
  gland_PCA10_a1: adj=-1.0000 LOO_r=0.4754 IS_r=0.8320 gap=0.3566 F1=0.4149 QWK=0.3846
  gland_PCA10_a5: adj=-1.0000 LOO_r=0.4752 IS_r=0.8318 gap=0.3566 F1=0.4149 QWK=0.3846
  gland_PCA10_a10: adj=-1.0000 LOO_r=0.4742 IS_r=0.8318 gap=0.3577 F1=0.4149 QWK=0.3846
  gland_PCA10_a20: adj=-1.0000 LOO_r=0.4737 IS_r=0.8317 gap=0.3580 F1=0.4149 QWK=0.3846
  gland_PCA10_a50: adj=-1.0000 LOO_r=0.4709 IS_r=0.8310 gap=0.3602 F1=0.4149 QWK=0.3846
  gland_PCA10_a100: adj=-1.0000 LOO_r=0.4663 IS_r=0.8300 gap=0.3637 F1=0.4149 QWK=0.3846
  gland_PCA10_a200: adj=-1.0000 LOO_r=0.4577 IS_r=0.8275 gap=0.3698 F1=0.3996 QWK=0.3333
  gland_PCA11_a1: adj=-1.0000 LOO_r=0.4876 IS_r=0.8327 gap=0.3452 F1=0.4149 QWK=0.3846
  gland_PCA11_a5: adj=-1.0000 LOO_r=0.4871 IS_r=0.8327 gap=0.3455 F1=0.4149 QWK=0.3846
  gland_PCA11_a10: adj=-1.0000 LOO_r=0.4867 IS_r=0.8327 gap=0.3460 F1=0.4149 QWK=0.3846
  gland_PCA11_a20: adj=-1.0000 LOO_r=0.4860 IS_r=0.8323 gap=0.3463 F1=0.4149 QWK=0.3846
  gland_PCA11_a50: adj=-1.0000 LOO_r=0.4834 IS_r=0.8318 gap=0.3484 F1=0.4149 QWK=0.3846
  gland_PCA11_a100: adj=-1.0000 LOO_r=0.4793 IS_r=0.8307 gap=0.3514 F1=0.4149 QWK=0.3846
  gland_PCA11_a200: adj=-1.0000 LOO_r=0.4718 IS_r=0.8279 gap=0.3561 F1=0.4149 QWK=0.3846
  gland_PCA12_a1: adj=-1.0000 LOO_r=0.4758 IS_r=0.8366 gap=0.3608 F1=0.4470 QWK=0.4286
  gland_PCA12_a5: adj=-1.0000 LOO_r=0.4754 IS_r=0.8366 gap=0.3611 F1=0.4470 QWK=0.4286
  gland_PCA12_a10: adj=-1.0000 LOO_r=0.4753 IS_r=0.8366 gap=0.3612 F1=0.4470 QWK=0.4286
  gland_PCA12_a20: adj=-1.0000 LOO_r=0.4747 IS_r=0.8363 gap=0.3616 F1=0.3949 QWK=0.3704
  gland_PCA12_a50: adj=-1.0000 LOO_r=0.4735 IS_r=0.8358 gap=0.3622 F1=0.3949 QWK=0.3704
  gland_PCA12_a100: adj=-1.0000 LOO_r=0.4709 IS_r=0.8347 gap=0.3637 F1=0.3949 QWK=0.3704
  gland_PCA12_a200: adj=-1.0000 LOO_r=0.4647 IS_r=0.8318 gap=0.3670 F1=0.4416 QWK=0.4000
  gland_PCA15_a1: adj=-1.0000 LOO_r=0.4832 IS_r=0.8693 gap=0.3861 F1=0.4717 QWK=0.4242
  gland_PCA15_a5: adj=-1.0000 LOO_r=0.4834 IS_r=0.8688 gap=0.3855 F1=0.4717 QWK=0.4242
  gland_PCA15_a10: adj=-1.0000 LOO_r=0.4838 IS_r=0.8687 gap=0.3849 F1=0.4717 QWK=0.4242
  gland_PCA15_a20: adj=-1.0000 LOO_r=0.4848 IS_r=0.8682 gap=0.3835 F1=0.4717 QWK=0.4242
  gland_PCA15_a50: adj=-1.0000 LOO_r=0.4867 IS_r=0.8672 gap=0.3805 F1=0.4717 QWK=0.4242
  gland_PCA15_a100: adj=-1.0000 LOO_r=0.4890 IS_r=0.8652 gap=0.3762 F1=0.5013 QWK=0.4375
  gland_PCA15_a200: adj=-1.0000 LOO_r=0.4915 IS_r=0.8617 gap=0.3702 F1=0.5284 QWK=0.4516
  gland_PCA20_a100: adj=-1.0000 LOO_r=0.6376 IS_r=0.9411 gap=0.3035 F1=0.5333 QWK=0.5333
  gland_PCA20_a200: adj=-1.0000 LOO_r=0.6214 IS_r=0.9353 gap=0.3139 F1=0.5333 QWK=0.5333
  tumor_PCA5_a1: adj=-1.0000 LOO_r=0.0449 IS_r=0.4274 gap=0.3824 F1=0.2134 QWK=0.0000
  tumor_PCA5_a5: adj=-1.0000 LOO_r=0.0452 IS_r=0.4274 gap=0.3821 F1=0.2134 QWK=0.0000
  tumor_PCA5_a10: adj=-1.0000 LOO_r=0.0456 IS_r=0.4274 gap=0.3817 F1=0.2134 QWK=0.0000
  tumor_PCA5_a50: adj=-1.0000 LOO_r=0.0485 IS_r=0.4273 gap=0.3788 F1=0.2134 QWK=0.0000
  tumor_PCA5_a100: adj=-1.0000 LOO_r=0.0518 IS_r=0.4273 gap=0.3755 F1=0.2134 QWK=0.0000
  tumor_PCA5_a200: adj=-1.0000 LOO_r=0.0575 IS_r=0.4273 gap=0.3698 F1=0.2134 QWK=0.0000
  tumor_PCA7_a1: adj=-1.0000 LOO_r=-0.1378 IS_r=0.4482 gap=0.5860 F1=0.2667 QWK=0.0000
  tumor_PCA7_a5: adj=-1.0000 LOO_r=-0.1367 IS_r=0.4482 gap=0.5850 F1=0.2179 QWK=-0.0833
  tumor_PCA7_a10: adj=-1.0000 LOO_r=-0.1355 IS_r=0.4482 gap=0.5837 F1=0.2179 QWK=-0.0833
  tumor_PCA7_a50: adj=-1.0000 LOO_r=-0.1258 IS_r=0.4481 gap=0.5739 F1=0.2179 QWK=-0.0833
  tumor_PCA7_a100: adj=-1.0000 LOO_r=-0.1147 IS_r=0.4479 gap=0.5626 F1=0.2179 QWK=-0.0833
