Round 6 Details
================================================================================

Best model: E_PCA20_Ridge_a50
Description: gland emb PCA(20) + Ridge(a=50)
LOO Pearson r: 0.6469
IS Pearson r: 0.9441
Gap: 0.2972
Adjusted: 0.5733

Best at various gap thresholds:
  gap<=0.30: E_PCA20_Ridge_a50 LOO_r=0.6469 gap=0.2972 adj=0.5733

All configurations (sorted by adjusted):
  C_PCA5_EN_a1.0_l0.7: adj=-1.0000 LOO_r=0.0483 IS_r=0.5206 gap=0.4723 F1=0.1709 QWK=-0.0952
  C_PCA5_EN_a1.0_l0.9: adj=-1.0000 LOO_r=0.0241 IS_r=0.5093 gap=0.4853 F1=0.1667 QWK=0.0000
  C_PCA7_EN_a0.05_l0.3: adj=-1.0000 LOO_r=0.3568 IS_r=0.7111 gap=0.3543 F1=0.3519 QWK=0.2609
  C_PCA7_EN_a0.05_l0.5: adj=-1.0000 LOO_r=0.3567 IS_r=0.7113 gap=0.3547 F1=0.3519 QWK=0.2609
  C_PCA7_EN_a0.05_l0.7: adj=-1.0000 LOO_r=0.3562 IS_r=0.7116 gap=0.3554 F1=0.3519 QWK=0.2609
  C_PCA7_EN_a0.05_l0.9: adj=-1.0000 LOO_r=0.3558 IS_r=0.7118 gap=0.3560 F1=0.3519 QWK=0.2609
  C_PCA7_EN_a0.1_l0.3: adj=-1.0000 LOO_r=0.3564 IS_r=0.7114 gap=0.3550 F1=0.3519 QWK=0.2609
  C_PCA7_EN_a0.1_l0.5: adj=-1.0000 LOO_r=0.3554 IS_r=0.7120 gap=0.3566 F1=0.3519 QWK=0.2609
  C_PCA7_EN_a0.1_l0.7: adj=-1.0000 LOO_r=0.3545 IS_r=0.7127 gap=0.3582 F1=0.3519 QWK=0.2609
  C_PCA7_EN_a0.1_l0.9: adj=-1.0000 LOO_r=0.3533 IS_r=0.7134 gap=0.3601 F1=0.3519 QWK=0.2609
  C_PCA7_EN_a0.3_l0.3: adj=-1.0000 LOO_r=0.3531 IS_r=0.7134 gap=0.3603 F1=0.3519 QWK=0.2609
  C_PCA7_EN_a0.3_l0.5: adj=-1.0000 LOO_r=0.3491 IS_r=0.7155 gap=0.3664 F1=0.3519 QWK=0.2609
  C_PCA7_EN_a0.3_l0.7: adj=-1.0000 LOO_r=0.3438 IS_r=0.7165 gap=0.3727 F1=0.3519 QWK=0.2609
  C_PCA7_EN_a0.3_l0.9: adj=-1.0000 LOO_r=0.3368 IS_r=0.7173 gap=0.3805 F1=0.3519 QWK=0.2609
  C_PCA7_EN_a0.5_l0.3: adj=-1.0000 LOO_r=0.3489 IS_r=0.7154 gap=0.3665 F1=0.3519 QWK=0.2609
  C_PCA7_EN_a0.5_l0.5: adj=-1.0000 LOO_r=0.3390 IS_r=0.7171 gap=0.3781 F1=0.3519 QWK=0.2609
  C_PCA7_EN_a0.5_l0.7: adj=-1.0000 LOO_r=0.3256 IS_r=0.7178 gap=0.3922 F1=0.3519 QWK=0.2609
  C_PCA7_EN_a0.5_l0.9: adj=-1.0000 LOO_r=0.3103 IS_r=0.7176 gap=0.4073 F1=0.2967 QWK=0.1818
  C_PCA7_EN_a1.0_l0.3: adj=-1.0000 LOO_r=0.3319 IS_r=0.7175 gap=0.3856 F1=0.3519 QWK=0.2609
  C_PCA7_EN_a1.0_l0.5: adj=-1.0000 LOO_r=0.3009 IS_r=0.7170 gap=0.4161 F1=0.2967 QWK=0.1818
  C_PCA7_EN_a1.0_l0.7: adj=-1.0000 LOO_r=0.2695 IS_r=0.7131 gap=0.4436 F1=0.2315 QWK=0.0952
  C_PCA7_EN_a1.0_l0.9: adj=-1.0000 LOO_r=0.2415 IS_r=0.7040 gap=0.4625 F1=0.2315 QWK=0.0952
  C_PCA8_EN_a0.05_l0.3: adj=-1.0000 LOO_r=0.3213 IS_r=0.7092 gap=0.3879 F1=0.3519 QWK=0.2609
  C_PCA8_EN_a0.05_l0.5: adj=-1.0000 LOO_r=0.3217 IS_r=0.7097 gap=0.3880 F1=0.3519 QWK=0.2609
  C_PCA8_EN_a0.05_l0.7: adj=-1.0000 LOO_r=0.3218 IS_r=0.7101 gap=0.3884 F1=0.3519 QWK=0.2609
  C_PCA8_EN_a0.05_l0.9: adj=-1.0000 LOO_r=0.3216 IS_r=0.7107 gap=0.3891 F1=0.3519 QWK=0.2609
  C_PCA8_EN_a0.1_l0.3: adj=-1.0000 LOO_r=0.3219 IS_r=0.7099 gap=0.3880 F1=0.3519 QWK=0.2609
  C_PCA8_EN_a0.1_l0.5: adj=-1.0000 LOO_r=0.3216 IS_r=0.7110 gap=0.3894 F1=0.3519 QWK=0.2609
  C_PCA8_EN_a0.1_l0.7: adj=-1.0000 LOO_r=0.3215 IS_r=0.7121 gap=0.3906 F1=0.3519 QWK=0.2609
