Round 19 Details
================================================================================

Approach: Increased tumor PCA to 29 components
  Systematic sweep: tPC x gPC x interpretable features x Ridge alpha
  Key test: dropping gf (Config C) to see if D8-A27N error is fixed
  musk_tumor PCA→29, musk_gland PCA→20
  LOO-safe PC selection, ONE Ridge model

Best model: A_tPC8_gPC3_gf_git_bgit_a1.5
Description: Ridge(a=1.5) tPC(8)+gPC(3)+gf_git_bgit [f=14]
LOO Pearson r: 0.9226
IS Pearson r: 0.9840
Gap: 0.0614
Adjusted: 0.9226

Feature correlations:
  gf: r=-0.4148
  git: r=-0.5571
  bgit: r=-0.1272

All configurations (310 total, sorted by adjusted):
  E_tPC9_gPC4_gf_a1.0: adj=0.8969 LOO_r=0.8969 IS_r=0.9842 gap=0.0873 F1=0.8011 QWK=0.8333
  A_tPC11_gPC3_gf_git_bgit_a0.5: adj=0.8961 LOO_r=0.8961 IS_r=0.9918 gap=0.0958 F1=0.7714 QWK=0.7879
  D_tPC11_gPC3_gf_git_bgit_a0.5: adj=0.8961 LOO_r=0.8961 IS_r=0.9918 gap=0.0958 F1=0.7714 QWK=0.7879
  F_tPC11_gPC0_gf_git_bgit_a2.0: adj=0.8956 LOO_r=0.8956 IS_r=0.9870 gap=0.0914 F1=0.7021 QWK=0.7097
  C_tPC10_gPC3_git_bgit_a0.5: adj=0.8953 LOO_r=0.8953 IS_r=0.9882 gap=0.0929 F1=0.7714 QWK=0.7879
  B_tPC9_gPC5_gf_git_bgit_a1.5: adj=0.8947 LOO_r=0.8947 IS_r=0.9871 gap=0.0924 F1=0.7348 QWK=0.7500
  C_tPC9_gPC3_git_bgit_a1.5: adj=0.8944 LOO_r=0.8944 IS_r=0.9787 gap=0.0842 F1=0.8056 QWK=0.8333
  D_tPC11_gPC3_gf_git_bgit_a3.0: adj=0.8944 LOO_r=0.8944 IS_r=0.9886 gap=0.0942 F1=0.6949 QWK=0.7097
  E_tPC9_gPC4_gf_a0.5: adj=0.8941 LOO_r=0.8941 IS_r=0.9849 gap=0.0908 F1=0.8011 QWK=0.8333
  C_tPC8_gPC4_git_bgit_a0.5: adj=0.8938 LOO_r=0.8938 IS_r=0.9781 gap=0.0842 F1=0.8692 QWK=0.8947
  D_tPC11_gPC3_gf_git_bgit_a0.3: adj=0.8936 LOO_r=0.8936 IS_r=0.9920 gap=0.0984 F1=0.7738 QWK=0.8000
  B_tPC9_gPC5_gf_git_bgit_a1.0: adj=0.8921 LOO_r=0.8921 IS_r=0.9881 gap=0.0960 F1=0.7714 QWK=0.7879
  C_tPC10_gPC4_git_bgit_a2.0: adj=0.8920 LOO_r=0.8920 IS_r=0.9871 gap=0.0951 F1=0.7348 QWK=0.7500
  B_tPC10_gPC5_gf_git_bgit_a1.5: adj=0.8912 LOO_r=0.8912 IS_r=0.9901 gap=0.0989 F1=0.6718 QWK=0.6875
