Round 12 Details
================================================================================

Best model: blend_gt_g0.60_gland_PCA20_a0.1_t0.40_tumor_PCA12_a0.1
Description: Blend 0.60*gland_PCA20_a0.1 + 0.40*tumor_PCA12_a0.1
LOO Pearson r: 0.6750
IS Pearson r: 0.9430
Gap: 0.2680
Adjusted: 0.6160

Best per category:
  Gland Embedding: gland_PCA20_a0.1 adj=0.5877 LOO_r=0.6573 gap=0.2893
  Tumor Embedding: tumor_PCA12_a0.1 adj=0.5200 LOO_r=0.5812 gap=0.2723
  Cell Embedding: cell_PCA5_a0.1 adj=-1.0000 LOO_r=0.0449 gap=0.3825
  GT Combined: gt_combined_PCA10_a1 adj=0.4769 LOO_r=0.5451 gap=0.2863
  GC Combined: gc_combined_PCA10_a1 adj=-1.0000 LOO_r=0.2481 gap=0.4537
  All3 Combined: all3_combined_PCA10_a1 adj=-1.0000 LOO_r=0.3562 gap=0.4156
  Blend GT (2-way): blend_gt_g0.60_gland_PCA20_a0.1_t0.40_tumor_PCA12_a0.1 adj=0.6160 LOO_r=0.6750 gap=0.2680

  blend_gt_g0.45_gland_PCA20_a1_t0.55_tumor_PCA12_a1: adj=0.6100 LOO_r=0.6672 IS_r=0.9315 gap=0.2643 F1=0.4959 QWK=0.4828
  blend_gt_g0.45_gland_PCA20_a1_t0.55_tumor_PCA12_a5: adj=0.6099 LOO_r=0.6671 IS_r=0.9315 gap=0.2644 F1=0.4959 QWK=0.4828
  blend_gt_g0.45_gland_PCA20_a5_t0.55_tumor_PCA12_a0.1: adj=0.6090 LOO_r=0.6663 IS_r=0.9311 gap=0.2648 F1=0.4959 QWK=0.4828
  blend_gt_g0.45_gland_PCA20_a5_t0.55_tumor_PCA12_a1: adj=0.6089 LOO_r=0.6663 IS_r=0.9311 gap=0.2648 F1=0.4959 QWK=0.4828
  blend_gt_g0.45_gland_PCA20_a5_t0.55_tumor_PCA12_a5: adj=0.6088 LOO_r=0.6662 IS_r=0.9311 gap=0.2649 F1=0.4959 QWK=0.4828
  blend_gt_g0.40_gland_PCA20_a0.1_t0.60_tumor_PCA12_a0.1: adj=0.6058 LOO_r=0.6626 IS_r=0.9262 gap=0.2636 F1=0.4959 QWK=0.4828
  blend_gt_g0.40_gland_PCA20_a0.1_t0.60_tumor_PCA12_a1: adj=0.6058 LOO_r=0.6626 IS_r=0.9262 gap=0.2636 F1=0.4959 QWK=0.4828
  blend_gt_g0.40_gland_PCA20_a0.1_t0.60_tumor_PCA12_a5: adj=0.6056 LOO_r=0.6625 IS_r=0.9263 gap=0.2638 F1=0.4959 QWK=0.4828
  blend_gt_g0.40_gland_PCA20_a1_t0.60_tumor_PCA12_a0.1: adj=0.6056 LOO_r=0.6624 IS_r=0.9261 gap=0.2637 F1=0.4959 QWK=0.4828
  blend_gt_g0.40_gland_PCA20_a1_t0.60_tumor_PCA12_a1: adj=0.6055 LOO_r=0.6624 IS_r=0.9261 gap=0.2638 F1=0.4959 QWK=0.4828
  blend_gt_g0.40_gland_PCA20_a1_t0.60_tumor_PCA12_a5: adj=0.6053 LOO_r=0.6623 IS_r=0.9262 gap=0.2639 F1=0.4959 QWK=0.4828
  blend_gt_g0.40_gland_PCA20_a5_t0.60_tumor_PCA12_a0.1: adj=0.6045 LOO_r=0.6616 IS_r=0.9258 gap=0.2642 F1=0.4959 QWK=0.4828
  blend_gt_g0.40_gland_PCA20_a5_t0.60_tumor_PCA12_a1: adj=0.6044 LOO_r=0.6615 IS_r=0.9258 gap=0.2643 F1=0.4959 QWK=0.4828
  blend_gt_g0.40_gland_PCA20_a5_t0.60_tumor_PCA12_a5: adj=0.6042 LOO_r=0.6614 IS_r=0.9258 gap=0.2644 F1=0.4959 QWK=0.4828
