Round 15 Details
================================================================================

Best model: blend3_emb0.95_blend2_g0.60_svr_gland_PCA20_C0.1_e0.6_t0.40_svr_tumor_PCA12_C2_e0.4_gf0.05
Description: 3way 0.95*blend2_g0.60_svr_gland_PCA20_C0.1_e0.6_t0.40_svr_tumor_PCA12_C2_e0.4 + 0.05*gfrac
LOO Pearson r: 0.7585
IS Pearson r: 0.8933
Gap: 0.1347
Adjusted: 0.7585

Best per category:
  Gland SVR: svr_gland_PCA20_C0.1_e0.6 adj=0.7288 LOO_r=0.7288 gap=0.1377
  Tumor SVR: svr_tumor_PCA12_C2_e0.4 adj=0.7053 LOO_r=0.7053 gap=0.1352
  Gland NuSVR: nusvr_gland_PCA20_nu0.9_C0.1 adj=0.7346 LOO_r=0.7439 gap=0.1688
  Tumor NuSVR: nusvr_tumor_PCA15_nu0.7_C5.0 adj=0.6398 LOO_r=0.6515 gap=0.1735
  Combined SVR: comb_svr_PCA12_C0.2_e0.3 adj=0.6603 LOO_r=0.6630 gap=0.1554
  Combined NuSVR: comb_nusvr_PCA15_nu0.5_C2.0 adj=0.6464 LOO_r=0.6573 gap=0.1717
  2-way Blend: blend2_g0.55_nusvr_gland_PCA20_nu0.9_C0.1_t0.45_svr_tumor_PCA12_C2_e0.4 adj=0.7580 LOO_r=0.7646 gap=0.1632
  3-way Blend (via 2way): blend3_emb0.95_blend2_g0.60_svr_gland_PCA20_C0.1_e0.6_t0.40_svr_tumor_PCA12_C2_e0.4_gf0.05 adj=0.7585 LOO_r=0.7585 gap=0.1347
  3-way Blend (direct): blend3b_g0.60_svr_gland_PCA20_C0.1_e0.6_t0.35_svr_tumor_PCA12_C2_e0.4_gf0.05 adj=0.7585 LOO_r=0.7585 gap=0.1350
  Gland Frac: gfrac_svr_C5_e0.5 adj=0.3875 LOO_r=0.3875 gap=0.0282

All configurations (sorted by adjusted):
  blend3b_g0.60_svr_gland_PCA20_C0.1_e0.6_t0.30_svr_tumor_PCA12_C2_e0.5_gf0.10: adj=0.7541 LOO_r=0.7541 IS_r=0.8983 gap=0.1442 F1=0.5368 QWK=0.6250
  blend2_g0.50_svr_gland_PCA20_C0.1_e0.5_t0.50_svr_tumor_PCA12_C2_e0.4: adj=0.7539 LOO_r=0.7539 IS_r=0.8960 gap=0.1421 F1=0.5379 QWK=0.6061
  blend2_g0.65_svr_gland_PCA20_C0.1_e0.5_t0.35_svr_tumor_PCA12_C2_e0.4: adj=0.7538 LOO_r=0.7538 IS_r=0.9002 gap=0.1464 F1=0.5633 QWK=0.6471
  blend3_emb0.90_blend2_g0.60_nusvr_gland_PCA20_nu0.9_C0.1_t0.40_svr_tumor_PCA12_C2_e0.4_gf0.10: adj=0.7535 LOO_r=0.7621 IS_r=0.9292 gap=0.1671 F1=0.5618 QWK=0.5517
  blend3b_g0.60_svr_gland_PCA20_C0.1_e0.6_t0.35_svr_tumor_PCA12_C2_e0.5_gf0.05: adj=0.7535 LOO_r=0.7535 IS_r=0.8998 gap=0.1464 F1=0.5309 QWK=0.5455
  blend3_emb0.90_blend2_g0.55_nusvr_gland_PCA20_nu0.9_C0.1_t0.45_svr_tumor_PCA12_C2_e0.4_gf0.10: adj=0.7533 LOO_r=0.7613 IS_r=0.9272 gap=0.1659 F1=0.5208 QWK=0.5000
  blend2_g0.75_nusvr_gland_PCA20_nu0.9_C0.1_t0.25_svr_tumor_PCA12_C2_e0.4: adj=0.7533 LOO_r=0.7617 IS_r=0.9285 gap=0.1668 F1=0.6718 QWK=0.6875
  blend2_g0.75_svr_gland_PCA20_C0.1_e0.6_t0.25_svr_tumor_PCA12_C2_e0.4: adj=0.7532 LOO_r=0.7532 IS_r=0.8902 gap=0.1369 F1=0.4973 QWK=0.4571
  blend2_g0.70_nusvr_gland_PCA20_nu0.9_C0.1_t0.30_svr_tumor_PCA12_C2_e0.5: adj=0.7529 LOO_r=0.7634 IS_r=0.9343 gap=0.1709 F1=0.6718 QWK=0.6875
  blend2_g0.65_nusvr_gland_PCA20_nu0.9_C0.1_t0.35_svr_tumor_PCA12_C2_e0.5: adj=0.7529 LOO_r=0.7635 IS_r=0.9348 gap=0.1713 F1=0.6718 QWK=0.6875
  blend3b_g0.60_nusvr_gland_PCA20_nu0.9_C0.1_t0.30_svr_tumor_PCA12_C2_e0.4_gf0.10: adj=0.7528 LOO_r=0.7620 IS_r=0.9304 gap=0.1684 F1=0.5618 QWK=0.5517
  blend3b_g0.60_svr_gland_PCA20_C0.1_e0.6_t0.30_svr_tumor_PCA12_C5_e0.4_gf0.10: adj=0.7527 LOO_r=0.7527 IS_r=0.8699 gap=0.1172 F1=0.5368 QWK=0.6250
  blend3b_g0.60_svr_gland_PCA20_C0.1_e0.5_t0.30_svr_tumor_PCA12_C2_e0.4_gf0.10: adj=0.7527 LOO_r=0.7527 IS_r=0.8999 gap=0.1472 F1=0.5379 QWK=0.6061
  blend2_g0.65_svr_gland_PCA20_C0.1_e0.6_t0.35_svr_tumor_PCA12_C2_e0.5: adj=0.7526 LOO_r=0.7526 IS_r=0.9004 gap=0.1477 F1=0.5309 QWK=0.5455
  blend2_g0.70_svr_gland_PCA20_C0.1_e0.6_t0.30_svr_tumor_PCA12_C2_e0.5: adj=0.7526 LOO_r=0.7526 IS_r=0.8994 gap=0.1468 F1=0.5266 QWK=0.4706
  blend3_emb0.90_blend2_g0.50_nusvr_gland_PCA20_nu0.9_C0.1_t0.50_svr_tumor_PCA12_C2_e0.4_gf0.10: adj=0.7526 LOO_r=0.7598 IS_r=0.9243 gap=0.1645 F1=0.4329 QWK=0.3846
  blend3b_g0.50_svr_gland_PCA20_C0.1_e0.6_t0.30_svr_tumor_PCA12_C2_e0.4_gf0.20: adj=0.7523 LOO_r=0.7523 IS_r=0.8868 gap=0.1346 F1=0.5406 QWK=0.5806
  blend2_g0.45_svr_gland_PCA20_C0.1_e0.5_t0.55_svr_tumor_PCA12_C2_e0.4: adj=0.7523 LOO_r=0.7523 IS_r=0.8931 gap=0.1408 F1=0.5111 QWK=0.5625
  blend3b_g0.60_svr_gland_PCA20_C0.1_e0.6_t0.20_svr_tumor_PCA12_C2_e0.4_gf0.20: adj=0.7523 LOO_r=0.7523 IS_r=0.8866 gap=0.1344 F1=0.5368 QWK=0.6250
  blend2_g0.70_svr_gland_PCA20_C0.1_e0.5_t0.30_svr_tumor_PCA12_C2_e0.4: adj=0.7520 LOO_r=0.7520 IS_r=0.9000 gap=0.1480 F1=0.5062 QWK=0.6061
  blend2_g0.75_nusvr_gland_PCA20_nu0.9_C0.1_t0.25_svr_tumor_PCA12_C2_e0.5: adj=0.7520 LOO_r=0.7622 IS_r=0.9326 gap=0.1704 F1=0.6718 QWK=0.6875
  blend2_g0.75_svr_gland_PCA20_C0.1_e0.6_t0.25_nusvr_tumor_PCA15_nu0.7_C5.0: adj=0.7520 LOO_r=0.7520 IS_r=0.8995 gap=0.1475 F1=0.4909 QWK=0.4865
  blend2_g0.70_svr_gland_PCA20_C0.1_e0.6_t0.30_nusvr_tumor_PCA15_nu0.7_C5.0: adj=0.7519 LOO_r=0.7519 IS_r=0.9019 gap=0.1500 F1=0.4973 QWK=0.4571
  blend3b_g0.60_svr_gland_PCA20_C0.1_e0.6_t0.20_svr_tumor_PCA12_C5_e0.4_gf0.20: adj=0.7518 LOO_r=0.7518 IS_r=0.8687 gap=0.1170 F1=0.5368 QWK=0.6250
  blend2_g0.60_nusvr_gland_PCA20_nu0.9_C0.1_t0.40_svr_tumor_PCA12_C2_e0.5: adj=0.7517 LOO_r=0.7626 IS_r=0.9343 gap=0.1717 F1=0.6718 QWK=0.6875
  blend3_emb0.80_blend2_g0.60_svr_gland_PCA20_C0.1_e0.6_t0.40_svr_tumor_PCA12_C2_e0.4_gf0.20: adj=0.7517 LOO_r=0.7517 IS_r=0.8863 gap=0.1346 F1=0.5406 QWK=0.5806
  blend2_g0.40_svr_gland_PCA20_C0.1_e0.6_t0.60_svr_tumor_PCA12_C2_e0.4: adj=0.7516 LOO_r=0.7516 IS_r=0.8852 gap=0.1336 F1=0.5600 QWK=0.5806
  blend2_g0.60_svr_gland_PCA20_C0.1_e0.6_t0.40_svr_tumor_PCA12_C2_e0.5: adj=0.7515 LOO_r=0.7515 IS_r=0.8999 gap=0.1485 F1=0.5890 QWK=0.5882
  blend2_g0.75_svr_gland_PCA20_C0.1_e0.6_t0.25_svr_tumor_PCA12_C2_e0.5: adj=0.7514 LOO_r=0.7514 IS_r=0.8971 gap=0.1457 F1=0.5266 QWK=0.4706
  blend3b_g0.60_nusvr_gland_PCA20_nu0.9_C0.1_t0.35_svr_tumor_PCA12_C2_e0.5_gf0.05: adj=0.7513 LOO_r=0.7625 IS_r=0.9347 gap=0.1723 F1=0.6718 QWK=0.6875
  blend2_g0.70_svr_gland_PCA20_C0.1_e0.6_t0.30_svr_tumor_PCA12_C5_e0.4: adj=0.7507 LOO_r=0.7507 IS_r=0.8759 gap=0.1251 F1=0.5309 QWK=0.5455
  blend2_g0.75_svr_gland_PCA20_C0.1_e0.6_t0.25_svr_tumor_PCA12_C5_e0.4: adj=0.7507 LOO_r=0.7507 IS_r=0.8782 gap=0.1275 F1=0.5309 QWK=0.5455
  blend2_g0.80_nusvr_gland_PCA20_nu0.9_C0.1_t0.20_svr_tumor_PCA12_C2_e0.4: adj=0.7506 LOO_r=0.7592 IS_r=0.9266 gap=0.1673 F1=0.6327 QWK=0.6452
  blend2_g0.80_svr_gland_PCA20_C0.1_e0.6_t0.20_nusvr_tumor_PCA15_nu0.7_C5.0: adj=0.7506 LOO_r=0.7506 IS_r=0.8957 gap=0.1452 F1=0.4909 QWK=0.4865
  blend3b_g0.60_svr_gland_PCA20_C0.1_e0.6_t0.35_svr_tumor_PCA12_C5_e0.4_gf0.05: adj=0.7505 LOO_r=0.7505 IS_r=0.8689 gap=0.1184 F1=0.5309 QWK=0.5455
  blend3b_g0.60_svr_gland_PCA20_C0.1_e0.6_t0.20_svr_tumor_PCA12_C2_e0.5_gf0.20: adj=0.7504 LOO_r=0.7504 IS_r=0.8902 gap=0.1398 F1=0.5368 QWK=0.6250
  blend3b_g0.50_svr_gland_PCA20_C0.1_e0.5_t0.35_svr_tumor_PCA12_C2_e0.4_gf0.15: adj=0.7503 LOO_r=0.7503 IS_r=0.8960 gap=0.1457 F1=0.5379 QWK=0.6061
  blend3_emb0.80_blend2_g0.55_svr_gland_PCA20_C0.1_e0.6_t0.45_svr_tumor_PCA12_C2_e0.4_gf0.20: adj=0.7502 LOO_r=0.7502 IS_r=0.8848 gap=0.1346 F1=0.5111 QWK=0.5333
  blend2_g0.80_nusvr_gland_PCA20_nu0.9_C0.1_t0.20_svr_tumor_PCA12_C2_e0.5: adj=0.7502 LOO_r=0.7601 IS_r=0.9300 gap=0.1699 F1=0.6327 QWK=0.6452
  blend2_g0.80_svr_gland_PCA20_C0.1_e0.6_t0.20_svr_tumor_PCA12_C2_e0.4: adj=0.7500 LOO_r=0.7500 IS_r=0.8873 gap=0.1374 F1=0.4973 QWK=0.4571
  blend2_g0.70_nusvr_gland_PCA20_nu0.9_C0.1_t0.30_svr_tumor_PCA12_C5_e0.4: adj=0.7499 LOO_r=0.7540 IS_r=0.9122 gap=0.1582 F1=0.6420 QWK=0.6667
  blend3b_g0.60_nusvr_gland_PCA20_nu0.9_C0.1_t0.30_svr_tumor_PCA12_C5_e0.4_gf0.10: adj=0.7499 LOO_r=0.7525 IS_r=0.9079 gap=0.1554 F1=0.6088 QWK=0.6250
  blend2_g0.40_svr_gland_PCA20_C0.1_e0.5_t0.60_svr_tumor_PCA12_C2_e0.4: adj=0.7498 LOO_r=0.7498 IS_r=0.8895 gap=0.1397 F1=0.5310 QWK=0.5625
  blend3b_g0.60_nusvr_gland_PCA20_nu0.9_C0.1_t0.35_svr_tumor_PCA12_C5_e0.4_gf0.05: adj=0.7497 LOO_r=0.7517 IS_r=0.9057 gap=0.1540 F1=0.6420 QWK=0.6667
  blend2_g0.75_nusvr_gland_PCA20_nu0.9_C0.1_t0.25_svr_tumor_PCA12_C5_e0.4: adj=0.7496 LOO_r=0.7547 IS_r=0.9149 gap=0.1602 F1=0.6420 QWK=0.6667
  blend2_g0.55_nusvr_gland_PCA20_nu0.9_C0.1_t0.45_svr_tumor_PCA12_C2_e0.5: adj=0.7496 LOO_r=0.7605 IS_r=0.9324 gap=0.1719 F1=0.6327 QWK=0.6452
  blend2_g0.75_svr_gland_PCA20_C0.1_e0.5_t0.25_svr_tumor_PCA12_C2_e0.4: adj=0.7495 LOO_r=0.7495 IS_r=0.8990 gap=0.1495 F1=0.5062 QWK=0.6061
  blend3b_g0.60_nusvr_gland_PCA20_nu0.9_C0.1_t0.30_svr_tumor_PCA12_C2_e0.5_gf0.10: adj=0.7494 LOO_r=0.7611 IS_r=0.9343 gap=0.1732 F1=0.6375 QWK=0.6452
  blend2_g0.65_svr_gland_PCA20_C0.1_e0.6_t0.35_svr_tumor_PCA12_C5_e0.4: adj=0.7494 LOO_r=0.7494 IS_r=0.8721 gap=0.1227 F1=0.5309 QWK=0.5455
  blend2_g0.65_nusvr_gland_PCA20_nu0.9_C0.1_t0.35_svr_tumor_PCA12_C5_e0.4: adj=0.7493 LOO_r=0.7523 IS_r=0.9082 gap=0.1559 F1=0.6420 QWK=0.6667
  blend3b_g0.50_svr_gland_PCA20_C0.1_e0.6_t0.35_svr_tumor_PCA12_C2_e0.5_gf0.15: adj=0.7493 LOO_r=0.7493 IS_r=0.8931 gap=0.1438 F1=0.5683 QWK=0.6250
  blend3_emb0.85_blend2_g0.60_nusvr_gland_PCA20_nu0.9_C0.1_t0.40_svr_tumor_PCA12_C2_e0.4_gf0.15: adj=0.7492 LOO_r=0.7587 IS_r=0.9277 gap=0.1690 F1=0.4785 QWK=0.4444
  blend3b_g0.50_nusvr_gland_PCA20_nu0.9_C0.1_t0.35_svr_tumor_PCA12_C2_e0.4_gf0.15: adj=0.7492 LOO_r=0.7586 IS_r=0.9272 gap=0.1687 F1=0.4785 QWK=0.4444
  blend2_g0.80_svr_gland_PCA20_C0.1_e0.6_t0.20_svr_tumor_PCA12_C5_e0.4: adj=0.7492 LOO_r=0.7492 IS_r=0.8790 gap=0.1298 F1=0.5266 QWK=0.4706
  blend2_g0.55_svr_gland_PCA20_C0.1_e0.6_t0.45_svr_tumor_PCA12_C2_e0.5: adj=0.7491 LOO_r=0.7491 IS_r=0.8981 gap=0.1490 F1=0.5626 QWK=0.5455
  blend2_g0.65_svr_gland_PCA20_C0.1_e0.6_t0.35_nusvr_tumor_PCA15_nu0.7_C5.0: adj=0.7490 LOO_r=0.7503 IS_r=0.9029 gap=0.1526 F1=0.4973 QWK=0.4571
  blend2_g0.80_svr_gland_PCA20_C0.1_e0.6_t0.20_svr_tumor_PCA12_C2_e0.5: adj=0.7490 LOO_r=0.7490 IS_r=0.8934 gap=0.1444 F1=0.5266 QWK=0.4706
  blend3_emb0.85_blend2_g0.55_nusvr_gland_PCA20_nu0.9_C0.1_t0.45_svr_tumor_PCA12_C2_e0.4_gf0.15: adj=0.7489 LOO_r=0.7578 IS_r=0.9254 gap=0.1677 F1=0.4329 QWK=0.3846
  blend2_g0.60_nusvr_gland_PCA20_nu0.8_C0.1_t0.40_svr_tumor_PCA12_C5_e0.4: adj=0.7487 LOO_r=0.7489 IS_r=0.8993 gap=0.1504 F1=0.6420 QWK=0.6667
  blend2_g0.65_nusvr_gland_PCA20_nu0.8_C0.1_t0.35_svr_tumor_PCA12_C5_e0.4: adj=0.7486 LOO_r=0.7508 IS_r=0.9051 gap=0.1543 F1=0.6336 QWK=0.6667
  blend2_g0.80_nusvr_gland_PCA20_nu0.9_C0.1_t0.20_svr_tumor_PCA12_C5_e0.4: adj=0.7484 LOO_r=0.7544 IS_r=0.9165 gap=0.1621 F1=0.6032 QWK=0.6250
  blend2_g0.75_nusvr_gland_PCA20_nu0.9_C0.1_t0.25_svr_tumor_PCA12_C1_e0.5: adj=0.7483 LOO_r=0.7573 IS_r=0.9253 gap=0.1680 F1=0.6718 QWK=0.6875
  blend2_g0.70_nusvr_gland_PCA20_nu0.9_C0.1_t0.30_svr_tumor_PCA12_C1_e0.5: adj=0.7483 LOO_r=0.7576 IS_r=0.9263 gap=0.1687 F1=0.6718 QWK=0.6875
  blend3_emb0.85_blend2_g0.50_nusvr_gland_PCA20_nu0.9_C0.1_t0.50_svr_tumor_PCA12_C2_e0.4_gf0.15: adj=0.7480 LOO_r=0.7561 IS_r=0.9223 gap=0.1662 F1=0.4329 QWK=0.3846
  blend2_g0.60_nusvr_gland_PCA20_nu0.9_C0.1_t0.40_svr_tumor_PCA12_C5_e0.4: adj=0.7479 LOO_r=0.7496 IS_r=0.9030 gap=0.1534 F1=0.6420 QWK=0.6667
  blend3b_g0.50_svr_gland_PCA20_C0.1_e0.6_t0.35_svr_tumor_PCA12_C5_e0.4_gf0.15: adj=0.7474 LOO_r=0.7474 IS_r=0.8568 gap=0.1094 F1=0.5683 QWK=0.6250
  blend3b_g0.60_svr_gland_PCA20_C0.1_e0.5_t0.30_svr_tumor_PCA12_C5_e0.4_gf0.10: adj=0.7474 LOO_r=0.7474 IS_r=0.8782 gap=0.1308 F1=0.5633 QWK=0.6471
