Round 16 Details
================================================================================

Approach: LOO-safe PC selection from musk_gland + musk_tumor PCA(20) + gland_frac
Models: Ridge, ElasticNet only (per human instructions)
PC selection: inside each LOO fold, select top-k PCs by |pearsonr(PC, y_train)|.

Best model: ridge_a10_gPC4_tPC6_interp0
Description: Ridge(a=10) gPC(4)+tPC(6)+interp(0) [f=10]
LOO Pearson r: 0.8033
IS Pearson r: 0.9047
Gap: 0.1014
Adjusted: 0.8033

All configurations (sorted by adjusted):
  ridge_a5_gPC0_tPC6_interp0: adj=0.7670 LOO_r=0.7670 IS_r=0.8604 gap=0.0934 F1=0.5700 QWK=0.5806
  ridge_a20_gPC3_tPC6_interp0: adj=0.7668 LOO_r=0.7668 IS_r=0.8640 gap=0.0972 F1=0.5208 QWK=0.5000
  enet_a0.01_l10.1_gPC4_tPC6_interp1: adj=0.7666 LOO_r=0.7666 IS_r=0.9137 gap=0.1471 F1=0.6292 QWK=0.7317
  enet_a0.05_l10.5_gPC4_tPC6_interp1: adj=0.7664 LOO_r=0.7664 IS_r=0.9089 gap=0.1425 F1=0.6077 QWK=0.6842
  enet_a0.05_l10.5_gPC4_tPC6_interp0: adj=0.7664 LOO_r=0.7664 IS_r=0.9089 gap=0.1425 F1=0.6077 QWK=0.6842
  enet_a0.5_l10.1_gPC4_tPC6_interp0: adj=0.7662 LOO_r=0.7662 IS_r=0.8998 gap=0.1335 F1=0.4785 QWK=0.4444
  enet_a0.01_l10.3_gPC4_tPC6_interp1: adj=0.7662 LOO_r=0.7662 IS_r=0.9137 gap=0.1474 F1=0.6012 QWK=0.7000
  enet_a0.05_l10.1_gPC0_tPC6_interp1: adj=0.7661 LOO_r=0.7661 IS_r=0.8721 gap=0.1060 F1=0.6100 QWK=0.6471
  enet_a0.1_l10.1_gPC0_tPC6_interp0: adj=0.7649 LOO_r=0.7649 IS_r=0.8622 gap=0.0973 F1=0.6071 QWK=0.6250
  enet_a0.05_l10.3_gPC0_tPC6_interp0: adj=0.7643 LOO_r=0.7643 IS_r=0.8645 gap=0.1002 F1=0.5773 QWK=0.6061
  ridge_a50_gPC3_tPC6_interp0: adj=0.7636 LOO_r=0.7636 IS_r=0.8570 gap=0.0934 F1=0.2315 QWK=0.0952
  ridge_a5_gPC3_tPC6_interp0: adj=0.7626 LOO_r=0.7626 IS_r=0.8764 gap=0.1138 F1=0.6757 QWK=0.7059
  ridge_a5_gPC0_tPC6_interp1: adj=0.7597 LOO_r=0.7597 IS_r=0.8628 gap=0.1032 F1=0.6071 QWK=0.6250
  ridge_a10_gPC0_tPC6_interp0: adj=0.7581 LOO_r=0.7581 IS_r=0.8546 gap=0.0965 F1=0.5333 QWK=0.5333
  enet_a0.1_l10.1_gPC0_tPC6_interp1: adj=0.7576 LOO_r=0.7576 IS_r=0.8654 gap=0.1077 F1=0.6071 QWK=0.6250
  enet_a0.05_l10.5_gPC0_tPC6_interp0: adj=0.7575 LOO_r=0.7575 IS_r=0.8627 gap=0.1052 F1=0.5773 QWK=0.6061
